Date,Open,High,Low,Close,Adj Close,Volume
1999-12-30,10.125,10.59375,9.75,10.3125,6.277719974517822,1727400
1999-12-31,10.375,10.6875,10.375,10.5625,6.429910182952881,643400
2000-01-03,10.53125,10.71875,10.375,10.59375,6.448930740356445,1455000
2000-01-04,10.46875,10.5,9.96875,10.0,6.087487697601318,1618200
2000-01-05,10.03125,10.40625,10.03125,10.375,6.315770626068115,1535600
2000-01-06,10.375,10.46875,9.90625,10.0625,6.125534057617188,2296600
2000-01-07,9.9375,10.25,9.65625,9.8125,5.973347187042236,2253000
2000-01-10,10.125,10.125,9.84375,9.875,6.011394500732422,1169200
2000-01-11,9.84375,10.0,9.78125,9.9375,6.049441337585449,845400
2000-01-12,9.875,9.90625,9.5625,9.78125,5.954324722290039,1784000
2000-01-13,9.75,9.9375,9.6875,9.71875,5.916276454925537,1897600
2000-01-14,9.65625,9.71875,9.375,9.5,5.783112525939941,1986800
2000-01-18,9.5625,9.75,9.34375,9.75,5.935300350189209,1356000
2000-01-19,9.75,10.0,9.6875,10.0,6.087487697601318,1086000
2000-01-20,10.0,10.0,9.53125,9.53125,5.802135944366455,1130400
2000-01-21,9.625,9.625,9.1875,9.1875,5.592879295349121,1141000
2000-01-24,9.25,9.25,8.75,8.9375,5.440692901611328,711400
2000-01-25,8.875,8.90625,8.5,8.8125,5.364598274230957,592200
2000-01-26,8.75,8.75,8.15625,8.34375,5.079246997833252,877400
2000-01-27,8.40625,8.90625,8.375,8.90625,5.421668529510498,1056800
2000-01-28,8.75,9.125,8.5625,8.71875,5.307529449462891,1770800
2000-01-31,8.65625,8.84375,8.65625,8.71875,5.307529449462891,859400
2000-02-01,8.59375,8.90625,8.59375,8.71875,5.307529449462891,735600
2000-02-02,8.71875,8.875,8.6875,8.71875,5.307529449462891,1475200
2000-02-03,8.6875,8.8125,8.65625,8.75,5.326551914215088,1541000
2000-02-04,9.0,9.375,9.0,9.28125,5.6499505043029785,1479400
2000-02-07,9.4375,9.46875,9.1875,9.1875,5.592879295349121,1530800
2000-02-08,9.1875,9.21875,8.96875,9.0,5.478737831115723,1079800
2000-02-09,9.0,9.15625,8.90625,8.96875,5.459714412689209,1466600
2000-02-10,9.0,9.03125,8.875,8.90625,5.421668529510498,1569000
2000-02-11,8.84375,9.09375,8.8125,9.09375,5.53580904006958,1071400
2000-02-14,9.03125,9.25,9.03125,9.1875,5.592879295349121,757800
2000-02-15,9.21875,9.34375,9.125,9.15625,5.573856353759766,1684400
2000-02-16,9.125,9.1875,8.96875,9.0,5.478737831115723,616600
2000-02-17,9.0,9.28125,8.9375,9.0625,5.516787052154541,775800
2000-02-18,9.03125,9.1875,8.96875,9.0,5.478737831115723,1126400
2000-02-22,8.9375,9.125,8.6875,8.875,5.402646541595459,915400
2000-02-23,8.9375,8.9375,8.3125,8.34375,5.079246997833252,771400
2000-02-24,8.34375,8.34375,7.46875,7.46875,4.546592712402344,1482600
2000-02-25,7.4375,7.4375,7.0,7.0,4.261241912841797,1446400
2000-02-28,7.1875,7.40625,6.8125,6.875,4.185147762298584,1726600
2000-02-29,6.90625,7.125,6.8125,6.875,4.185147762298584,886400
2000-03-01,6.90625,7.125,6.625,7.03125,4.280263900756836,1116600
2000-03-02,7.03125,7.03125,6.5,6.65625,4.051982402801514,1086800
2000-03-03,6.65625,6.96875,6.5,6.84375,4.16612434387207,1030400
2000-03-06,6.8125,6.9375,6.625,6.65625,4.051982402801514,899400
2000-03-07,6.71875,6.96875,6.71875,6.96875,4.242217540740967,925800
2000-03-08,6.8125,6.90625,6.65625,6.78125,4.128077030181885,1219200
2000-03-09,6.71875,6.84375,6.53125,6.625,4.032960414886475,636600
2000-03-10,6.84375,6.84375,6.53125,6.53125,3.975890636444092,463200
2000-03-13,6.59375,6.65625,6.4375,6.46875,3.937842607498169,453800
2000-03-14,6.40625,6.5,6.25,6.3125,3.842727661132813,569000
2000-03-15,6.3125,6.6875,6.3125,6.65625,4.051982402801514,1225600
2000-03-16,6.625,7.0,6.625,6.875,4.185147762298584,2312000
2000-03-17,6.90625,6.90625,6.53125,6.59375,4.013936519622803,1215200
2000-03-20,6.78125,6.9375,6.71875,6.875,4.185147762298584,638600
2000-03-21,6.9375,7.0,6.75,6.9375,4.223194599151611,887200
2000-03-22,6.875,6.875,6.25,6.3125,3.842727661132813,983400
2000-03-23,6.34375,6.875,6.3125,6.875,4.185147762298584,1081200
2000-03-24,6.8125,6.96875,6.71875,6.78125,4.128077030181885,966200
2000-03-27,6.75,6.78125,6.5,6.75,4.109053611755371,539200
2000-03-28,6.75,6.875,6.75,6.84375,4.16612434387207,702800
2000-03-29,6.78125,6.8125,6.125,6.1875,3.7666335105896,1720800
2000-03-30,6.3125,6.40625,6.03125,6.09375,3.709561586380005,1206200
2000-03-31,6.03125,6.34375,6.03125,6.03125,3.671515941619873,1814400
2000-04-03,6.0,6.1875,5.9375,6.0625,3.690539836883545,741800
2000-04-04,6.03125,6.375,5.8125,6.0,3.65249252319336,1477000
2000-04-05,5.9375,6.125,5.84375,6.125,3.728586673736572,930200
2000-04-06,6.15625,6.28125,6.0,6.09375,3.709561586380005,578200
2000-04-07,6.0,6.0,5.25,5.46875,3.3290936946868896,1485200
2000-04-10,5.53125,5.78125,5.5,5.78125,3.5193288326263428,1166400
2000-04-11,5.71875,5.8125,5.21875,5.34375,3.253000497817993,1457600
2000-04-12,5.34375,5.71875,5.34375,5.5625,3.3861656188964844,1471600
2000-04-13,5.5625,5.78125,5.53125,5.6875,3.4622585773468018,1009400
2000-04-14,5.6875,5.75,5.375,5.46875,3.3290936946868896,805800
2000-04-17,5.46875,5.46875,5.15625,5.28125,3.2149550914764404,1440600
