Date,Open,High,Low,Close,Adj Close,Volume
1999-12-30,92.0,92.515625,79.8671875,80.875,53.96924591064453,129003200
1999-12-31,85.5,90.5625,83.625,88.0625,58.76559829711914,72674200
2000-01-03,99.625,100.0,87.0,89.65625,59.82913589477539,91334000
2000-01-04,86.28125,87.65625,80.0,81.03125,54.07353591918945,63567400
2000-01-05,79.9375,81.625,69.5,78.21875,52.19670867919922,93778400
2000-01-06,74.25,78.0,69.875,70.03125,46.73302459716797,58782600
2000-01-07,67.0,75.25,66.4609375,75.0,50.048789978027344,68198600
2000-01-10,81.0,81.5,76.25,79.6875,53.17681884765625,35360800
2000-01-11,78.0,78.9375,70.75,72.21875,48.19281768798828,30575800
2000-01-12,72.5,73.75,68.03125,69.125,46.128299713134766,34455600
2000-01-13,72.1875,72.8125,68.8125,71.5625,47.7548713684082,25146800
2000-01-14,73.8125,74.46875,69.75,70.21875,46.858158111572266,26209200
2000-01-18,68.71875,70.625,67.5,69.53125,46.39940643310547,28503000
2000-01-19,68.5625,73.5,68.5,73.3125,48.922698974609375,30728400
2000-01-20,74.625,78.0,73.5625,77.8125,51.92561340332031,39224000
2000-01-21,79.125,80.21875,75.5,77.46875,51.69624710083008,34955000
2000-01-24,77.875,78.5,69.8125,70.03125,46.73302459716797,32170600
2000-01-25,71.8125,74.96875,70.0,74.5,49.715110778808594,39671400
2000-01-26,64.5,65.4375,60.0,62.3125,41.58219909667969,136953200
2000-01-27,63.34375,64.0,58.6875,60.0,40.03902816772461,62571000
2000-01-28,60.53125,60.6875,52.8125,55.28125,36.89011001586914,85675000
2000-01-31,56.3125,63.75,56.09375,63.5,42.37462615966797,80518000
2000-02-01,65.75,70.0,65.4609375,68.03125,45.398433685302734,69648400
2000-02-02,68.4375,72.75,68.0,71.03125,47.4003791809082,57368200
2000-02-03,72.5625,74.0,66.0,69.59375,46.44110870361328,52571000
2000-02-04,70.9375,70.9375,67.5,68.71875,45.85718536376953,30028800
2000-02-07,67.21875,67.625,65.125,66.71875,44.52254867553711,20868400
2000-02-08,66.75,69.8125,66.71875,69.53125,46.39940643310547,21450800
2000-02-09,69.75,70.0,66.5,66.65625,44.48085784912109,20141200
2000-02-10,67.28125,68.5625,66.5,68.46875,45.69036483764648,15072200
2000-02-11,67.5390625,68.25,65.75,66.0,44.042911529541016,12419400
2000-02-14,64.6875,65.0,62.5,63.5625,42.41632461547852,23353600
2000-02-15,62.1796875,63.84375,60.03125,63.3125,42.24951934814453,30036000
2000-02-16,62.6875,65.75,60.5,60.9375,40.66462707519531,30052000
2000-02-17,62.5625,65.5,61.0,65.0,43.37562942504883,34971600
2000-02-18,66.0078125,69.375,65.875,67.25,44.87706756591797,42991600
2000-02-22,66.25,67.875,63.125,65.28125,43.56329345703125,24472000
2000-02-23,66.6875,73.75,65.375,73.4375,49.00611877441406,52349200
2000-02-24,68.4375,71.125,67.5,69.84375,46.607940673828125,51715400
2000-02-25,68.125,71.0,66.6875,66.78125,44.56425094604492,23405600
2000-02-28,68.75,73.75,68.75,71.625,47.79659652709961,36400800
2000-02-29,73.0,74.0,69.125,71.21875,47.52548599243164,31323400
2000-03-01,70.25,70.65625,68.265625,69.5,46.378543853759766,20865400
2000-03-02,69.4375,69.5625,66.0,66.09375,44.10548400878906,20560800
2000-03-03,65.5,67.5,63.0,65.9375,44.0012092590332,33932600
2000-03-06,64.75,69.0,64.0,66.625,44.46000289916992,23576200
2000-03-07,67.25,67.375,63.75,64.0,42.70830154418945,21447000
2000-03-08,65.3125,65.8125,62.4921875,64.5625,43.08365631103516,22876000
2000-03-09,63.59375,64.625,62.375,63.5,42.37462615966797,17427800
2000-03-10,62.59375,72.75,61.0,68.0625,45.41927719116211,83012800
2000-03-13,64.1875,68.0,63.5625,65.09375,43.43816375732422,35140400
2000-03-14,66.0625,67.0,62.5,62.5625,41.74903106689453,24239800
2000-03-15,63.0,66.5,62.75,64.0,42.70830154418945,31392000
2000-03-16,65.21875,67.0,63.25,66.4375,44.33488464355469,23705600
2000-03-17,66.375,68.75,66.3125,68.125,45.460968017578125,31121600
2000-03-20,67.15625,67.96875,64.0,64.8125,43.25049591064453,18187800
2000-03-21,63.875,67.5,62.875,67.3125,44.91878890991211,18525200
2000-03-22,66.84375,67.875,65.25,67.4375,45.00218963623047,19331800
2000-03-23,66.28125,72.3125,66.125,72.0625,48.08855056762695,42424400
2000-03-24,71.75,76.2109375,71.1875,73.0,48.71415710449219,50165800
2000-03-27,73.84375,78.0,73.25,74.46875,49.69427490234375,37870000
2000-03-28,74.875,78.5,73.5,77.40625,51.654518127441406,41268000
2000-03-29,79.125,81.28125,76.09375,78.75,52.55121994018555,50245600
2000-03-30,75.9375,78.625,69.625,72.6171875,48.45869445800781,41385600
2000-03-31,74.90625,76.75,72.5,74.65625,49.81938934326172,34407000
2000-04-03,74.34375,76.0,69.03125,70.375,46.962440490722656,26965400
2000-04-04,70.9375,73.75,62.0,73.3125,48.922698974609375,42759000
2000-04-05,70.375,72.5,68.5625,70.625,47.12926864624024,23548800
2000-04-06,70.6875,71.5,68.5,69.5625,46.42024612426758,16193600
2000-04-07,70.9375,76.375,70.0,76.125,50.79951095581055,31462600
2000-04-10,75.6875,75.90625,70.125,70.59375,47.108436584472656,20188800
2000-04-11,67.75,73.75,66.96875,68.71875,45.85718536376953,22864800
2000-04-12,68.96875,70.5,62.5,62.5625,41.74903106689453,31838800
2000-04-13,64.0,67.8125,61.5,63.25,42.207801818847656,30230600
2000-04-14,61.5,65.375,51.5,52.59375,35.09669876098633,66002600
2000-04-17,49.21875,58.71875,49.0625,58.4375,38.99634552001953,64758800
2000-04-18,57.7578125,60.625,53.5,56.09375,37.43230438232422,44492400
2000-04-19,59.625,62.9375,56.5,57.375,38.28731918334961,59833800
2000-04-20,57.96875,59.25,53.25,54.75,36.535606384277344,38979800
