Date,Open,High,Low,Close,Adj Close,Volume
1999-12-30,42.0,48.5,41.875,43.75,39.17439651489258,505100
1999-12-31,44.375,45.9375,43.375,44.5,39.845947265625,114300
2000-01-03,46.625,47.0,40.75,41.125,36.82393646240234,558900
2000-01-04,40.125,40.25,37.0,38.375,34.36154556274414,416800
2000-01-05,38.875,40.3125,37.0,40.3125,36.09640884399414,472800
2000-01-06,40.875,46.0,39.625,41.5,37.15971374511719,2333400
2000-01-07,42.75,43.125,39.3125,40.875,36.60008239746094,341800
2000-01-10,42.75,43.375,41.25,42.5,38.055137634277344,335100
2000-01-11,42.625,42.875,40.875,40.875,36.60008239746094,286300
2000-01-12,41.25,42.0,40.5,40.75,36.48815536499024,282700
2000-01-13,41.15625,41.5625,39.5625,40.25,36.04044342041016,281400
2000-01-14,40.21875,42.125,39.625,42.0,37.60742568969727,186700
2000-01-18,42.25,44.9375,42.0,44.0,39.39825820922852,472900
2000-01-19,44.125,46.875,43.5,46.75,41.86063766479492,674100
2000-01-20,47.9375,50.0,47.75,48.0625,43.03588485717773,1174200
2000-01-21,48.0625,51.0,46.125,48.8125,43.70743179321289,488900
2000-01-24,49.75,51.0,48.6875,48.9375,43.81936264038086,986100
2000-01-25,49.125,50.5625,46.375,47.625,42.644142150878906,589400
2000-01-26,47.5,48.0,47.25,47.25,42.308349609375,447200
2000-01-27,47.3125,47.625,44.625,45.0,40.29367065429688,495700
2000-01-28,44.0,45.625,42.1875,44.0,39.39825820922852,553600
2000-01-31,43.75,43.8125,38.125,41.375,37.04779052734375,628000
2000-02-01,52.25,52.25,43.25,45.0,40.29367065429688,1731800
2000-02-02,46.625,47.0,44.875,45.875,41.0771598815918,478500
2000-02-03,47.375,47.75,45.75,47.25,42.308349609375,472200
2000-02-04,47.3125,49.5,47.0,48.75,43.65147399902344,303200
2000-02-07,50.0,50.5,48.0,49.75,44.5468978881836,164900
2000-02-08,49.8125,54.125,48.375,54.0625,48.40835952758789,616300
2000-02-09,54.75,56.0,51.0,53.0,47.45698547363281,781400
2000-02-10,53.6875,55.0,51.875,52.0,46.56157302856445,519700
